2018,2016,2014,2012,2010,2008,measure,group,category
75,74,79,76,79,77,pct_elect,White,race
12,12,11,13,11,12,pct_elect,Black,race
8,9,6,7,6,7,pct_elect,Hispanic/Latino,race
5,5,4,5,4,4,pct_elect,Asian/Other,race
11,14,8,14,9,16,pct_elect,18-29,age
21,22,18,23,20,24,pct_elect,30-44,age
39,39,43,40,45,40,pct_elect,45-64,age
29,25,31,23,26,20,pct_elect,65+,age
65,66,66,67,68,69,pct_elect,Non-College,education
35,34,34,33,32,31,pct_elect,College,education
-11,-19,-17,-15,-19,-8,dem_margin,White,race
90,93,74,93,80,90,dem_margin,Black,race
42,46,27,38,21,27,dem_margin,Hispanic/Latino,race
32,31,8,35,19,26,dem_margin,Asian/Other,race
34,25,20,26,10,29,dem_margin,18-29,age
26,14,-3,7,-0,14,dem_margin,30-44,age
0,-3,-6,2,-5,3,dem_margin,45-64,age
-6,-14,-5,-8,-13,-8,dem_margin,65+,age
1,-2,-1,2,-6,8,dem_margin,Non-College,education
19,11,-7,9,-1,7,dem_margin,College,education
