year,vep_highestoffice,vap_highestoffice,state_abv
2020,66.4,,US
2020,62.6,,AL
2020,69.8,,AK
2020,65.5,,AZ
2020,55.5,,AR
2020,64.7,,CA
2020,78.7,,CO
2020,71.1,,CT
2020,70.5,,DE
2020,64.7,,DC
2020,71.7,,FL
2020,68.1,,GA
2020,57.5,,HI
2020,67.7,,ID
2020,67.6,,IL
2020,61.4,,IN
2020,78.6,,IA
2020,64.2,,KS
2020,64.9,,KY
2020,63.9,,LA
2020,79.2,,ME
2020,70.7,,MD
2020,73.4,,MA
2020,73.6,,MI
2020,79.9,,MN
2020,60.4,,MS
2020,66.3,,MO
2020,72.7,,MT
2020,68.6,,NE
2020,63.6,,NV
2020,75.4,,NH
2020,73.0,,NJ
2020,61.0,,NM
2020,65.3,,NY
2020,72.2,,NC
2020,64.6,,ND
2020,68.9,,OH
2020,55.0,,OK
2020,75.2,,OR
2020,70.5,,PA
2020,65.0,,RI
2020,64.5,,SC
2020,66.0,,SD
2020,59.7,,TN
2020,60.2,,TX
2020,61.6,,UT
2020,74.0,,VT
2020,71.4,,VA
2020,75.4,,WA
2020,57.0,,WV
2020,76.1,,WI
2020,64.5,,WY
2018,49.4,45.77,US
2018,46.9,45.01,AL
2018,54.5,51.34,AK
2018,46.9,41.99,AZ
2018,41.0,38.41,AR
2018,48.3,40.65,CA
2018,60.0,55.82,CO
2018,54.2,49.57,CT
2018,50.8,46.92,DE
2018,42.4,38.82,DC
2018,53.6,47.46,FL
2018,53.9,48.34,GA
2018,38.7,35.03,HI
2018,48.0,44.81,ID
2018,50.8,46.41,IL
2018,46.0,44.09,IN
2018,57.6,54.61,IA
2018,50.8,47.64,KS
2018,47.4,45.26,KY
2018,43.4,41.02,LA
2018,58.8,57.80,ME
2018,53.5,48.87,MD
2018,53.7,48.81,MA
2018,56.5,54.15,MI
2018,63.8,59.74,MN
2018,42.7,41.10,MS
2018,53.3,51.16,MO
2018,60.7,59.83,MT
2018,50.9,47.80,NE
2018,46.3,40.45,NV
2018,53.3,51.80,NH
2018,52.2,45.63,NJ
2018,46.5,42.88,NM
2018,44.8,39.61,NY
2018,48.2,44.91,NC
2018,57.9,55.98,ND
2018,50.2,48.57,OH
2018,41.9,39.40,OK
2018,59.7,55.49,OR
2018,51.4,49.28,PA
2018,47.0,44.04,RI
2018,44.0,42.09,SC
2018,52.8,50.67,SD
2018,44.2,42.04,TN
2018,45.6,38.56,TX
2018,49.8,46.49,UT
2018,54.8,53.70,VT
2018,54.3,50.11,VA
2018,57.4,51.60,WA
2018,41.7,40.98,WV
2018,61.4,58.58,WI
2018,47.4,45.64,WY
2016,59.2,54.7,US
2016,58.8,56.3,AL
2016,61.0,57.4,AK
2016,54.9,48.9,AZ
2016,52.8,49.4,AR
2016,56.5,47.0,CA
2016,70.0,64.6,CO
2016,63.7,58.3,CT
2016,64.2,59.2,DE
2016,60.4,55.4,DC
2016,64.5,56.9,FL
2016,59.1,52.6,GA
2016,42.3,38.3,HI
2016,59.2,55.0,ID
2016,62.2,56.7,IL
2016,56.4,54.0,IN
2016,68.4,65.1,IA
2016,57.7,54.0,KS
2016,58.6,56.1,KY
2016,60.0,56.8,LA
2016,70.7,69.4,ME
2016,66.4,59.5,MD
2016,67.2,61.1,MA
2016,64.7,62.0,MI
2016,74.1,69.4,MN
2016,55.2,53.3,MS
2016,62.2,59.6,MO
2016,61.8,60.8,MT
2016,62.8,58.8,NE
2016,57.4,49.4,NV
2016,71.4,69.1,NH
2016,64.4,55.7,NJ
2016,54.5,50.2,NM
2016,56.8,49.6,NY
2016,64.5,60.2,NC
2016,60.8,59.3,ND
2016,62.9,61.0,OH
2016,52.3,49.0,OK
2016,66.2,61.7,OR
2016,63.6,61.0,PA
2016,59.1,54.7,RI
2016,56.7,54.2,SC
2016,58.6,56.6,SD
2016,51.1,48.6,TN
2016,51.4,43.4,TX
2016,56.8,52.8,UT
2016,63.7,62.3,VT
2016,66.1,60.8,VA
2016,64.7,58.3,WA
2016,50.2,49.2,WV
2016,69.5,66.2,WI
2016,59.5,57.3,WY
2014,36.0,33.2,US
2014,32.9,31.5,AL
2014,54.2,51.0,AK
2014,33.4,29.5,AZ
2014,40.1,37.5,AR
2014,29.9,24.7,CA
2014,53.7,49.4,CO
2014,42.3,38.5,CT
2014,34.3,31.8,DE
2014,35.3,32.0,DC
2014,42.8,37.6,FL
2014,38.2,33.8,GA
2014,36.2,32.9,HI
2014,39.3,36.5,ID
2014,40.2,36.6,IL
2014,27.8,26.7,IN
2014,49.8,47.3,IA
2014,42.5,39.8,KS
2014,44.2,42.2,KY
2014,43.9,41.5,LA
2014,58.1,57.0,ME
2014,41.7,37.3,MD
2014,44.1,40.2,MA
2014,42.7,41.0,MI
2014,50.4,47.2,MN
2014,29.0,27.9,MS
2014,31.7,30.5,MO
2014,46.9,46.1,MT
2014,40.5,38.0,NE
2014,29.3,25.2,NV
2014,47.6,46.0,NH
2014,31.1,27.0,NJ
2014,35.4,32.3,NM
2014,28.2,24.6,NY
2014,40.8,37.9,NC
2014,43.8,42.7,ND
2014,35.1,34.1,OH
2014,29.9,28.1,OK
2014,50.9,47.2,OR
2014,36.1,34.6,PA
2014,41.7,38.5,RI
2014,34.8,33.1,SC
2014,44.3,43.1,SD
2014,28.6,27.2,TN
2014,28.3,23.8,TX
2014,29.7,27.5,UT
2014,38.9,38.1,VT
2014,36.6,33.7,VA
2014,41.2,37.1,WA
2014,31.2,30.7,WV
2014,56.6,53.9,WI
2014,39.0,37.3,WY
2012,58.0,53.6,US
2012,58.6,56.0,AL
2012,58.7,55.3,AK
2012,52.6,46.5,AZ
2012,50.7,47.7,AR
2012,55.1,45.1,CA
2012,69.9,64.5,CO
2012,61.3,55.6,CT
2012,62.3,57.8,DE
2012,61.5,55.5,DC
2012,62.8,55.1,FL
2012,59.0,52.3,GA
2012,44.2,39.9,HI
2012,59.8,55.6,ID
2012,58.9,53.3,IL
2012,55.2,52.9,IN
2012,70.3,67.1,IA
2012,56.9,53.5,KS
2012,55.7,53.4,KY
2012,60.2,57.0,LA
2012,68.2,67.0,ME
2012,66.6,59.5,MD
2012,65.9,60.2,MA
2012,64.7,62.0,MI
2012,76.0,71.4,MN
2012,59.3,57.2,MS
2012,62.2,59.6,MO
2012,62.5,61.6,MT
2012,60.3,56.9,NE
2012,56.4,48.2,NV
2012,70.2,67.8,NH
2012,61.5,53.2,NJ
2012,54.6,49.8,NM
2012,53.1,46.1,NY
2012,64.8,60.1,NC
2012,59.8,58.7,ND
2012,64.5,62.7,OH
2012,49.2,46.3,OK
2012,63.1,58.7,OR
2012,59.5,57.2,PA
2012,58.0,53.4,RI
2012,56.3,53.6,SC
2012,59.3,57.6,SD
2012,51.9,49.4,TN
2012,49.6,41.7,TX
2012,55.5,51.4,UT
2012,60.7,59.6,VT
2012,66.1,60.7,VA
2012,64.8,58.6,WA
2012,46.3,45.5,WV
2012,72.9,69.5,WI
2012,58.6,56.4,WY
2010,41.0,37.8,US
2010,43.0,40.8,AL
2010,51.9,48.5,AK
2010,41.0,35.9,AZ
2010,37.5,35.3,AR
2010,44.0,35.8,CA
2010,50.6,46.5,CO
2010,45.9,41.7,CT
2010,47.5,44.1,DE
2010,28.9,26.2,DC
2010,41.7,36.3,FL
2010,39.8,35.5,GA
2010,39.9,36.0,HI
2010,42.3,39.4,ID
2010,42.4,38.3,IL
2010,37.1,35.6,IN
2010,49.9,47.9,IA
2010,41.7,39.2,KS
2010,42.4,40.7,KY
2010,38.9,36.8,LA
2010,55.2,54.3,ME
2010,46.4,41.8,MD
2010,48.9,44.6,MA
2010,44.5,42.7,MI
2010,55.4,52.1,MN
2010,37.0,35.5,MS
2010,44.5,42.4,MO
2010,47.5,46.8,MT
2010,37.5,35.5,NE
2010,41.3,35.3,NV
2010,45.7,44.2,NH
2010,36.4,31.4,NJ
2010,42.8,38.8,NM
2010,35.5,30.8,NY
2010,39.2,36.4,NC
2010,46.2,45.3,ND
2010,44.9,43.6,OH
2010,38.8,36.4,OK
2010,52.7,48.7,OR
2010,41.7,40.1,PA
2010,44.8,41.2,RI
2010,39.7,37.6,SC
2010,52.9,51.5,SD
2010,34.6,32.8,TN
2010,32.1,26.9,TX
2010,36.3,33.6,UT
2010,49.4,48.5,VT
2010,38.7,35.4,VA
2010,53.2,48.4,WA
2010,36.8,36.1,WV
2010,52.0,49.7,WI
2010,45.5,43.8,WY
2008,61.6,56.9,US
2008,60.8,58.4,AL
2008,68.0,64.3,AK
2008,56.7,49.1,AZ
2008,52.5,50.0,AR
2008,60.9,49.5,CA
2008,71.0,64.7,CO
2008,66.6,60.4,CT
2008,65.6,60.6,DE
2008,61.5,55.2,DC
2008,66.1,57.6,FL
2008,62.5,55.6,GA
2008,48.8,43.8,HI
2008,63.6,58.6,ID
2008,63.6,57.4,IL
2008,59.1,57.0,IN
2008,69.4,66.9,IA
2008,62.0,58.8,KS
2008,57.9,55.7,KY
2008,61.2,58.7,LA
2008,70.6,69.6,ME
2008,67.0,60.6,MD
2008,66.8,60.9,MA
2008,69.2,66.4,MI
2008,77.8,73.2,MN
2008,61.0,58.9,MS
2008,67.6,64.9,MO
2008,66.3,65.1,MT
2008,62.9,59.4,NE
2008,57.0,48.4,NV
2008,71.7,69.6,NH
2008,67.0,58.2,NJ
2008,60.9,55.1,NM
2008,59.0,51.4,NY
2008,65.5,60.7,NC
2008,62.7,61.7,ND
2008,66.9,65.1,OH
2008,55.8,52.8,OK
2008,67.7,62.7,OR
2008,63.6,61.3,PA
2008,61.8,57.1,RI
2008,58.0,55.3,SC
2008,64.7,63.4,SD
2008,57.0,54.5,TN
2008,54.1,45.5,TX
2008,56.0,51.8,UT
2008,67.3,66.0,VT
2008,67.0,61.8,VA
2008,66.6,60.3,WA
2008,49.9,49.1,WV
2008,72.4,69.3,WI
2008,62.8,60.9,WY
